lakeid,sampledate,depth,chlor,phaeo
CR,11/6/84,12,2.6,0
CR,11/6/84,15,2.4,0.4
CR,11/6/84,19,2,0.4
CR,1/10/85,0,0.3,0
CR,1/10/85,3,2.1,0
CR,1/10/85,5,2.6,-0.3
CR,1/10/85,8,2,-0.1
CR,1/10/85,10,0.7,0.1
CR,1/10/85,12,0.4,0.1
CR,1/10/85,12,1.1,-0.3
CR,1/10/85,15,0.4,0.2
CR,1/10/85,19,0.5,0.6
CR,2/28/85,0,0.4,-0.1
CR,2/28/85,3,1.6,-0.2
CR,2/28/85,5,1.3,0
CR,2/28/85,8,1.2,-0.1
CR,2/28/85,10,0.4,0.2
CR,2/28/85,10,1.2,-0.3
CR,2/28/85,12,0.5,-0.1
CR,2/28/85,15,0.3,0.4
CR,2/28/85,19,0.1,0.6
CR,3/28/85,0,0,0.1
CR,3/28/85,3,0.7,0.1
CR,3/28/85,5,0.7,0.1
CR,3/28/85,8,1.7,-0.1
CR,3/28/85,10,1.6,-0.1
CR,3/28/85,10,1.7,0.2
CR,3/28/85,12,2.6,0.2
CR,3/28/85,16,2,0.2
CR,3/28/85,19,1.2,0.5
CR,4/11/85,0,0,0.1
CR,4/11/85,3,1.4,-0.6
CR,4/11/85,8,1.7,0.1
CR,4/11/85,12,4.3,-0.4
CR,4/11/85,15,3.8,-0.3
CR,4/11/85,19,1.1,0.3
CR,5/1/85,0,1.2,-0.2
CR,5/1/85,0,1.3,-0.1
CR,5/1/85,3,1.3,0
CR,5/1/85,5,1.6,-0.1
CR,5/1/85,8,2.1,0
CR,5/1/85,10,3.8,-0.4
CR,5/1/85,12,5.4,-0.8
CR,5/1/85,15,7.6,-0.1
CR,5/1/85,19,12.9,-1.6
CR,5/15/85,0,3.7,-0.4
CR,5/15/85,3,5,-0.7
CR,5/15/85,5,2.4,-0.5
CR,5/15/85,8,5.4,-1
CR,5/15/85,10,3.8,-0.2
CR,5/15/85,12,4.4,-0.2
CR,5/15/85,15,11.4,-1.6
CR,5/15/85,15,12.7,-2.2
CR,5/15/85,19,24.5,-2.1
CR,5/29/85,0,2,-0.1
CR,5/29/85,3,1.3,0.3
CR,5/29/85,5,1.4,0.1
CR,5/29/85,8,2.1,0.1
CR,5/29/85,10,3.7,-0.1
CR,5/29/85,10,3.3,0.1
CR,5/29/85,12,6,-0.4
CR,5/29/85,15,11.1,-2.2
CR,5/29/85,19,21.5,-1.4
CR,6/12/85,0,1.6,-0.4
CR,6/12/85,3,1.2,0
CR,6/12/85,5,1.4,-0.2
CR,6/12/85,8,1.3,0
CR,6/12/85,10,1.7,1.6
CR,6/12/85,12,5,-0.1
CR,6/12/85,15,5.9,1.7
CR,6/12/85,19,15.5,2
CR,6/24/85,0,2.4,-0.9
CR,6/24/85,3,2.1,-0.3
CR,6/24/85,5,2.1,-0.7
CR,6/24/85,8,1.8,0.2
CR,6/24/85,10,2.2,1.1
CR,6/24/85,12,2.6,1.9
CR,6/24/85,15,7.1,0.8
CR,6/24/85,15,5.8,3
CR,6/24/85,19,16.4,1.4
CR,7/8/85,0,3.7,-0.6
CR,7/8/85,3,2.2,-0.2
CR,7/8/85,3,2.2,0
CR,7/8/85,5,2,0.1
CR,7/8/85,8,2.6,0.6
CR,7/8/85,10,2.1,0.3
CR,7/8/85,12,5.6,1.2
CR,7/8/85,15,11,-0.2
CR,7/8/85,17,15.3,0.6
CR,7/8/85,19,7.8,1.5
CR,7/23/85,0,2.1,0.1
CR,7/23/85,3,2.1,0.1
CR,7/23/85,5,2.1,-0.4
CR,7/23/85,8,1.2,0.5
CR,7/23/85,10,2.6,0.3
CR,7/23/85,12,3.8,0.6
CR,7/23/85,15,10.6,2.2
CR,7/23/85,15,11.5,0.6
CR,7/23/85,17,29.1,-3
CR,7/23/85,19,16.7,4.1
CR,8/7/85,0,2.4,-0.2
CR,8/7/85,3,2.2,0.1
CR,8/7/85,5,2.2,-0.3
CR,8/7/85,8,1.8,0
CR,8/7/85,10,1.7,0.6
CR,8/7/85,12,3.8,0.6
CR,8/7/85,15,13.4,5
CR,8/7/85,17,25.4,7.8
CR,8/7/85,19,23.6,0
CR,8/7/85,19,19.8,5.2
CR,8/22/85,0,1.7,0.6
CR,8/22/85,3,2,0.9
CR,8/22/85,5,3,-0.2
CR,8/22/85,8,2.6,0.2
CR,8/22/85,10,3.5,0.8
CR,8/22/85,12,5.4,-0.3
CR,8/22/85,15,15.7,0.5
CR,8/22/85,17,23.1,0.9
CR,8/22/85,19,8.6,1.5
CR,8/22/85,19,8.9,1.4
