lakeid,sampledate,depth,chlor,phaeo
CB,10/29/87,1,9.4,3
CB,10/29/87,2,7.9,2.4
CB,11/17/87,0,5.5,3.6
CB,11/17/87,0,5.8,3.2
CB,11/17/87,1,5.7,2.9
CB,11/17/87,2,5.2,2.6
CB,1/20/88,0,102.7,12.7
CB,1/20/88,0,38.4,6.3
CB,1/20/88,1,4.5,3.1
CB,1/20/88,2,6,4.2
CB,2/29/88,0,14.8,2.1
CB,2/29/88,0,7.3,13.3
CB,2/29/88,2,7.4,12.4
CB,3/23/88,0,5.1,2.7
CB,3/23/88,1,3.6,8.4
CB,3/23/88,1,2.7,7.2
CB,3/23/88,2,8.4,32.1
CB,4/21/88,0,4.2,3.6
CB,4/21/88,0,4.5,2.4
CB,4/21/88,1,6.1,2.1
CB,4/21/88,2,4.3,4
CB,5/11/88,0,6.5,3.1
CB,5/11/88,0,6.6,2.9
CB,5/11/88,1,6.3,3.3
CB,5/11/88,2,13.1,12
CB,5/23/88,0,4.1,1.7
CB,5/23/88,0,4.8,1.4
CB,5/23/88,1,6.6,2.1
CB,5/23/88,2,13.9,10.4
CB,6/8/88,0,7.2,1.8
CB,6/8/88,1,8.2,1.7
CB,6/8/88,1,9.6,4.5
CB,6/8/88,2,11.2,3.3
CB,6/22/88,0,2.1,0.8
CB,6/22/88,1,2.1,1.2
CB,6/22/88,2,25.7,5.3
CB,6/22/88,2,33.8,7.1
CB,7/7/88,0,13.5,3.3
CB,7/7/88,1,9.6,7.4
CB,7/7/88,1,16.5,1.3
CB,7/7/88,2,8.9,3.7
CB,7/18/88,0,3,1.5
CB,7/18/88,1,12.4,2.5
CB,7/18/88,2,33.6,40
CB,7/18/88,2,59.1,18.3
CB,8/2/88,0,14.3,2
CB,8/2/88,1,10.1,2.6
CB,8/2/88,2,17.6,4.4
CB,8/2/88,2,7.9,3
CB,8/15/88,0,7.1,0.9
CB,8/15/88,0,9.4,1.9
CB,8/15/88,1,14.5,2.6
CB,8/15/88,2,16.7,3.8
CB,9/1/88,0,11.9,1.5
CB,9/1/88,1,24.1,2.9
CB,9/1/88,1,20.5,1.8
CB,9/1/88,2,7.8,3.1
CB,9/14/88,0,5.8,1.7
CB,9/14/88,0,5.9,1.8
CB,9/14/88,1,4.1,1.4
CB,9/14/88,2,4.5,1.8
CB,9/26/88,0,4.2,0.8
CB,9/26/88,1,3.2,1.7
CB,9/26/88,1,2.5,1.2
CB,9/26/88,2,0.4,0.2
CB,10/10/88,0,4.4,1.4
CB,10/10/88,0,4.8,1.8
CB,10/10/88,1,4.9,1.6
CB,10/10/88,2,4,1.6
CB,10/27/88,0,7,2.7
CB,10/27/88,1,5.6,2.4
CB,10/27/88,1,5.2,2.5
CB,10/27/88,2,5.3,2.6
CB,11/16/88,0,12.8,5.3
CB,11/16/88,1,12.6,4.3
CB,11/16/88,2,10.3,4.8
CB,11/16/88,2,10.9,3.9
CB,1/19/89,0,9.6,6.9
CB,1/19/89,1,1.8,5.4
CB,1/19/89,2,2,4.8
CB,1/19/89,2,2,5.2
CB,2/21/89,0,43.4,14.8
CB,2/21/89,0,12.8,21.9
CB,2/21/89,1,1.2,4.1
CB,2/21/89,2,1.1,4.7
CB,3/28/89,0,3.8,3.7
CB,3/28/89,0,4.2,2.6
CB,3/28/89,1,1.3,2.8
CB,3/28/89,2,2.7,7.3
CB,5/4/89,0,8.1,3.5
CB,5/4/89,0,9.9,1.8
CB,5/4/89,1,12.6,4
CB,5/4/89,2,19.5,7.8
CB,5/16/89,0,4.4,1.3
CB,5/16/89,1,8.2,2.6
CB,5/16/89,1,7.9,3.4
CB,5/16/89,2,10.6,6
CB,5/30/89,0,10.5,3
CB,5/30/89,0,10.2,1.4
CB,5/30/89,1,9.1,3.1
CB,5/30/89,2,8.4,6.5
CB,6/14/89,0,13.2,4.4
CB,6/14/89,1,16.8,-2.3
CB,6/14/89,1,14.8,4.2
CB,6/14/89,2,10,4.6
CB,6/26/89,0,11.2,2.9
CB,6/26/89,0,11.5,3.2
CB,6/26/89,1,12.6,1.9
CB,6/26/89,2,22.5,8.1
CB,7/11/89,0,9,2.5
CB,7/11/89,1,12.1,5.1
CB,7/11/89,2,47.1,11.7
CB,7/11/89,2,103.8,20.3
CB,7/26/89,0,10,1.5
CB,7/26/89,0,8.1,1
CB,7/26/89,1,8.1,2.3
CB,7/26/89,2,9,7.8
CB,8/9/89,0,9.6,2
CB,8/9/89,1,5.7,1.2
CB,8/9/89,1,5.9,0.9
CB,8/23/89,0,2.6,0.9
CB,8/23/89,0,4.6,-1.2
