lakeid,sampledate,depth,chlor,phaeo
TB,7/1/87,2,187.2,19.1
TB,7/1/87,3,18.6,40.9
TB,7/1/87,5,4.5,12.3
TB,7/1/87,7,3.1,6.7
TB,7/16/87,0,1,0.4
TB,7/16/87,2,174,33.7
TB,7/16/87,3,4.7,67.9
TB,7/16/87,5,2.1,14.8
TB,7/16/87,5,2.7,14.4
TB,7/16/87,7,3.2,6.1
TB,7/28/87,0,27.3,-6.9
TB,7/28/87,2,89.1,
TB,7/28/87,2,85.1,214.4
TB,7/28/87,3,12.9,111.2
TB,7/28/87,5,3.5,17.6
TB,7/28/87,7,1.8,7.9
TB,8/12/87,0,18.8,1.3
TB,8/12/87,2,130.5,-3.7
TB,8/12/87,3,34.4,89.7
TB,8/12/87,5,3.9,18.9
TB,8/12/87,5,3,19
TB,8/12/87,7,1.3,10.3
TB,8/24/87,0,9,1.6
TB,8/24/87,2,71.1,-0.9
TB,8/24/87,3,11.6,107.1
TB,8/24/87,3,12.5,104.7
TB,8/24/87,5,5.1,25.3
TB,8/24/87,7,2.5,11.8
TB,9/10/87,0,25.6,2.5
TB,9/10/87,2,25.6,3.7
TB,9/10/87,2,75.9,12.8
TB,9/10/87,3,27.8,78.5
TB,9/10/87,5,19.9,31.2
TB,9/10/87,6,5.2,17.1
TB,9/24/87,0,10.3,1.4
TB,9/24/87,2,3.4,1.5
TB,9/24/87,3,17.8,75.9
TB,9/24/87,5,7.8,28.9
TB,9/24/87,7,4.8,14.5
TB,9/24/87,7,4,14.1
TB,10/6/87,0,9.8,9.2
TB,10/6/87,2,8.3,9.1
TB,10/6/87,3,7.4,7.7
TB,10/6/87,5,7,29.3
TB,10/6/87,5,7.1,28.6
TB,10/6/87,7,4.5,14.5
TB,10/19/87,0,5.7,2.8
TB,10/19/87,0,5.4,2.7
TB,10/19/87,2,3.2,2.6
TB,10/19/87,3,3,2.6
TB,10/19/87,5,4.8,23.6
TB,10/19/87,7,4.2,14.9
TB,11/2/87,0,12.4,3.5
TB,11/2/87,2,2.3,2.2
TB,11/2/87,3,2.1,2.3
TB,11/2/87,3,2.2,2.3
TB,11/2/87,5,1.1,2.1
TB,11/2/87,7,2.9,9.9
TB,11/19/87,0,3.7,2.2
TB,11/19/87,2,4.1,1.6
TB,11/19/87,2,4.4,1
TB,11/19/87,3,4.1,0.5
TB,11/19/87,6,1.7,0.9
TB,11/19/87,7,2.3,1.5
TB,1/14/88,0,3.1,3.3
TB,1/14/88,2,0.2,0.7
TB,1/14/88,3,0.1,0.7
TB,1/14/88,5,2.4,1.6
TB,1/14/88,7,2.2,5.1
TB,1/14/88,7,2,6.6
